run_id,model,f1,acc,ece_full,mce_full,ece_rare,mce_rare,auc_roc,auc_pr
1,QSVM,0.7722772277227723,0.77,0.18160237742165236,0.5538811328543621,0.4252035639164768,0.7279946133185622,0.895698051948052,0.9246460199601497
1,SVM-RBF,0.8148148148148148,0.8,0.18249768329480948,0.5606431476906097,0.45944456666892786,0.8571019918900729,0.8587662337662337,0.9062657928653683
1,SVM-Poly,0.7920792079207921,0.79,0.19493259664024362,0.5857244420685537,0.5420898414007702,0.8829839345527457,0.8352272727272727,0.9045169972361579
2,QSVM,0.7920792079207921,0.79,0.14806225200411066,0.7147928246151976,0.4270323083486436,0.9317685766035602,0.9366883116883117,0.9532899446065816
2,SVM-RBF,0.7368421052631579,0.75,0.17760804119724283,0.7064487330337312,0.6751874968977918,0.9069001798962408,0.8449675324675324,0.9096371991244933
2,SVM-Poly,0.7878787878787878,0.79,0.19760976206278247,0.5941053530674526,0.576605134913951,0.9322909525873372,0.8348214285714286,0.9044505586036612
3,QSVM,0.8076923076923077,0.8,0.14610391378113377,0.660168346392085,0.35370498295088915,0.9037619793028615,0.8948863636363638,0.932754325612859
3,SVM-RBF,0.8571428571428571,0.84,0.17865697670553876,0.5902843578718465,0.332789952861914,0.6017088062087457,0.8368506493506495,0.89740578139549
3,SVM-Poly,0.7920792079207921,0.79,0.2058642842881367,0.6896562837054053,0.5307751964227482,0.8803470423195232,0.8295454545454545,0.8996881027863052
4,QSVM,0.7722772277227723,0.77,0.15749018620785893,0.7312921309475292,0.5231966407686703,0.9823176053463213,0.8672889610389611,0.9189528049905934
4,SVM-RBF,0.8037383177570093,0.79,0.16970018038908913,0.6937014599606531,0.47738008852581604,0.8862593500915612,0.8664772727272726,0.9151013642231397
4,SVM-Poly,0.7920792079207921,0.79,0.1934744933216715,0.5846582038187533,0.5566114660772672,0.8933216183443414,0.8352272727272727,0.9047498994964991
5,QSVM,0.7333333333333333,0.76,0.188349769313556,0.7433219018454734,0.5225085977535882,0.9642271611865204,0.8794642857142856,0.9233796757756234
5,SVM-RBF,0.6966292134831461,0.73,0.16354692679603966,0.5242823241005137,0.7488791884158077,0.9033320109822709,0.9208603896103895,0.9370080502494571
5,SVM-Poly,0.7045454545454546,0.74,0.162329208299489,0.6800907108947912,0.6674698015032979,0.8971727070915081,0.8948863636363635,0.9261522008738067
