feature,f_score,f_pvalue,mi_binary,mi_category,final_rank
flag_SF,168332.09391481432,0.0,0.333383725834955,0.3776238678377766,1
same_srv_rate,163826.57732340015,0.0,0.3601752687172255,0.4640810197962777,2
dst_host_srv_count,137591.70933127718,0.0,0.33327434983548754,0.4155732409195343,3
dst_host_same_srv_rate,116945.4823624858,0.0,0.3072959223294127,0.402504090240563,4
logged_in,114585.76734278385,0.0,0.28615957018401206,0.31321434879752896,5
dst_host_srv_serror_rate,94645.67923317733,0.0,0.2785284767623384,0.3769382077894643,6
dst_host_serror_rate,93068.84269461167,0.0,0.2824585957085006,0.39962182446112005,7
serror_rate,92481.83684514472,0.0,0.27599475699291487,0.38529057604962125,8
flag_S0,92261.76709720757,0.0,0.2603784717321407,0.36314274118626644,9
srv_serror_rate,91324.70193514183,0.0,0.2653950732998438,0.3602768968235539,10
count,62673.4745454157,0.0,0.2646573122579514,0.41400422364572176,11
service_http,58249.61362103974,0.0,0.18821788331352662,0.19170322366536174,12
service_private,31936.474965052443,0.0,0.11860513789271154,0.12354244024323391,13
dst_host_count,20621.97606693176,0.0,0.14209364416355985,0.21041496735536747,14
service_domain_u,9052.397784839917,0.0,0.04642699297697872,0.046796753079058284,15
srv_rerror_rate,8651.419914862094,0.0,0.035835085551156,0.05404140472131047,16
dst_host_srv_rerror_rate,8645.837111677865,0.0,0.06191530106631671,0.08377264017972186,17
rerror_rate,8643.65784411164,0.0,0.041257690408529335,0.07805048784017199,18
dst_host_rerror_rate,8582.544919699305,0.0,0.037512357938076946,0.09749489011357237,19
dst_host_diff_srv_rate,7895.152294656337,0.0,0.28502289152397986,0.4509417138736409,20
