feature,f_score,f_pvalue,final_rank
state_INT,59703.3178608971,0.0,1
dload,32161.33812816319,0.0,2
state_CON,27258.67408502619,0.0,3
ct_dst_sport_ltm,25646.59295314119,0.0,4
dmean,23208.24827831813,0.0,5
rate,22614.001448943673,0.0,6
proto_tcp,21975.51050063462,0.0,7
swin,21961.792750584525,0.0,8
dwin,19950.896058407863,0.0,9
ct_src_dport_ltm,18054.435036764185,0.0,10
state_FIN,17765.077179091935,0.0,11
stcpb,12194.817764138295,0.0,12
dtcpb,11722.907952254009,0.0,13
service_dns,8072.297523655699,0.0,14
proto_arp,6420.504242952887,0.0,15
proto_unas,6309.111200747321,0.0,16
is_sm_ips_ports,6191.3689061418945,0.0,17
sload,6062.570333299142,0.0,18
sinpkt,5612.333414358407,0.0,19
proto_udp,4617.585916788957,0.0,20
service_-,4483.9813587006,0.0,21
service_ssh,2769.5006620424683,0.0,22
dpkts,2501.672576150485,0.0,23
service_ftp-data,1940.0635046276632,0.0,24
ackdat,1678.0108960504515,0.0,25
dloss,1586.7584734869536,0.0,26
tcprtt,1174.8655484154835,1.259307950248273e-256,27
proto_ospf,1058.804646122308,1.4632838916791787e-231,28
dbytes,1042.1546337697648,5.790494893644675e-228,29
djit,652.054009862392,1.4649982400019034e-143,30
synack,597.9101424115349,7.942679934359568e-132,31
proto_sctp,544.8745766875726,2.5068021252921653e-120,32
service_pop3,511.5232448581587,4.296765402209751e-113,33
spkts,477.9163672551013,8.412133237618689e-106,34
dur,229.71400047306338,7.424121233232025e-52,35
