experiment,run_id,baseline,cohens_d
E2_sigma_levels,1,SVM-RBF (mm),0.2609039232973807
E2_sigma_levels,1,SVM-RBF (std),-0.5568197545561903
E2_sigma_levels,1,SVM-Poly2 (mm),0.10775364737107848
E2_sigma_levels,1,SVM-Poly2 (std),-0.26204182640414914
E2_sigma_levels,1,SVM-Linear (mm),0.15443956086798835
E2_sigma_levels,1,SVM-Linear (std),0.10785028868555889
E2_sigma_levels,2,SVM-RBF (mm),-0.19702799439585741
E2_sigma_levels,2,SVM-RBF (std),0.1336724737348314
E2_sigma_levels,2,SVM-Poly2 (mm),-0.2790325231865925
E2_sigma_levels,2,SVM-Poly2 (std),-0.3370678757083139
E2_sigma_levels,2,SVM-Linear (mm),-0.14527850642577783
E2_sigma_levels,2,SVM-Linear (std),-0.20828923523134646
E2_sigma_levels,3,SVM-RBF (mm),-0.517047659185195
E2_sigma_levels,3,SVM-RBF (std),-0.6064912352285737
E2_sigma_levels,3,SVM-Poly2 (mm),-0.4768847057824342
E2_sigma_levels,3,SVM-Poly2 (std),-0.6761819527445497
E2_sigma_levels,3,SVM-Linear (mm),-0.4033424356479241
E2_sigma_levels,3,SVM-Linear (std),-0.3788999926805651
E2_sigma_levels,4,SVM-RBF (mm),-0.5287662476232102
E2_sigma_levels,4,SVM-RBF (std),-0.696841273501826
E2_sigma_levels,4,SVM-Poly2 (mm),-0.513951022011889
E2_sigma_levels,4,SVM-Poly2 (std),-0.6783009144552078
E2_sigma_levels,4,SVM-Linear (mm),-0.45852377515036025
E2_sigma_levels,4,SVM-Linear (std),-0.44637727106445935
E2_sigma_levels,5,SVM-RBF (mm),0.36687724474405353
E2_sigma_levels,5,SVM-RBF (std),-0.6732797036390249
E2_sigma_levels,5,SVM-Poly2 (mm),0.4500249503420196
E2_sigma_levels,5,SVM-Poly2 (std),0.7442604990360709
E2_sigma_levels,5,SVM-Linear (mm),0.23241156029556648
E2_sigma_levels,5,SVM-Linear (std),0.02098795544115972
E3_prior_shift,1,SVM-RBF (mm),1.5291020162672926
E3_prior_shift,1,SVM-RBF (std),0.7280988942817125
E3_prior_shift,1,SVM-Poly2 (mm),1.8091585790583493
E3_prior_shift,1,SVM-Poly2 (std),1.200543325177648
E3_prior_shift,1,SVM-Linear (mm),1.5504218503583482
E3_prior_shift,1,SVM-Linear (std),1.4633765946953667
E3_prior_shift,2,SVM-RBF (mm),1.392705302534963
E3_prior_shift,2,SVM-RBF (std),1.451956617686648
E3_prior_shift,2,SVM-Poly2 (mm),1.4696270710757118
E3_prior_shift,2,SVM-Poly2 (std),0.8495259813030616
E3_prior_shift,2,SVM-Linear (mm),1.5290219492986847
E3_prior_shift,2,SVM-Linear (std),1.4491121703554728
E3_prior_shift,3,SVM-RBF (mm),0.9656068174057112
E3_prior_shift,3,SVM-RBF (std),0.7101687104087705
E3_prior_shift,3,SVM-Poly2 (mm),1.2325156957753223
E3_prior_shift,3,SVM-Poly2 (std),0.6570794837463958
E3_prior_shift,3,SVM-Linear (mm),1.2233837149302393
E3_prior_shift,3,SVM-Linear (std),1.2233837149302393
E3_prior_shift,4,SVM-RBF (mm),1.4055473327893526
E3_prior_shift,4,SVM-RBF (std),0.9874030746850712
E3_prior_shift,4,SVM-Poly2 (mm),1.718916878058372
E3_prior_shift,4,SVM-Poly2 (std),0.9082681477906714
E3_prior_shift,4,SVM-Linear (mm),1.3668655242344994
E3_prior_shift,4,SVM-Linear (std),1.3221168906974055
E3_prior_shift,5,SVM-RBF (mm),0.25640609645113627
E3_prior_shift,5,SVM-RBF (std),-0.28229051438733194
E3_prior_shift,5,SVM-Poly2 (mm),0.06396358052125616
E3_prior_shift,5,SVM-Poly2 (std),0.7200728388430306
E3_prior_shift,5,SVM-Linear (mm),0.4092558540617281
E3_prior_shift,5,SVM-Linear (std),0.34550515124145775
