experiment,baseline,cohens_d_mean,cohens_d_std,effect_size
E2_sigma_levels,SVM-RBF (mm),-0.12301214663256568,0.42212613218008316,small
E2_sigma_levels,SVM-RBF (std),-0.47995189863815674,0.3474450972684494,small
E2_sigma_levels,SVM-Poly2 (mm),-0.1424179306535635,0.41295968151444035,small
E2_sigma_levels,SVM-Poly2 (std),-0.24186641405522993,0.5833141766179017,small
E2_sigma_levels,SVM-Linear (mm),-0.12405871921210147,0.3142247998882426,small
E2_sigma_levels,SVM-Linear (std),-0.18094565096993048,0.2421610074454826,small
E3_prior_shift,SVM-RBF (mm),1.109873513089691,0.5225870447591475,large
E3_prior_shift,SVM-RBF (std),0.7190673565349741,0.6348245952587176,medium
E3_prior_shift,SVM-Poly2 (mm),1.2588363608978024,0.7048714578322874,large
E3_prior_shift,SVM-Poly2 (std),0.8670979553721615,0.2114909672867893,large
E3_prior_shift,SVM-Linear (mm),1.2157897785767,0.46996583291474725,large
E3_prior_shift,SVM-Linear (std),1.1606989043839886,0.4661871950037538,large
