model_name,sigma,f1_macro_mean,f1_macro_std
QSVM (ZZ),0.0,0.8537753356500781,0.015725416532580545
QSVM (ZZ),0.01,0.8525062943712957,0.010287053377921311
QSVM (ZZ),0.05,0.8404949352284813,0.010549684713225056
QSVM (ZZ),0.1,0.7790496845040707,0.023860843237233722
QSVM (ZZ),0.2,0.6930925493444707,0.02552657035867535
SVM-Linear (mm),0.0,0.8133776088947642,0.016048933161856616
SVM-Linear (mm),0.01,0.8133776088947642,0.016048933161856616
SVM-Linear (mm),0.05,0.8134750725487534,0.013132183574024467
SVM-Linear (mm),0.1,0.8115037849749831,0.01479142605361679
SVM-Linear (mm),0.2,0.8089285745969651,0.013463337142405272
SVM-Linear (std),0.0,0.8181929737863346,0.008851626079677266
SVM-Linear (std),0.01,0.8161729384184971,0.009655343830410444
SVM-Linear (std),0.05,0.8155310843507554,0.011432738478758711
SVM-Linear (std),0.1,0.8128291231558589,0.013620582884817975
SVM-Linear (std),0.2,0.8089297661214229,0.013758739327523114
SVM-Poly2 (mm),0.0,0.8122086547512473,0.019311320988974597
SVM-Poly2 (mm),0.01,0.8122086547512473,0.019311320988974597
SVM-Poly2 (mm),0.05,0.8122664420938264,0.019182534843356684
SVM-Poly2 (mm),0.1,0.8109631512310432,0.014889555243989347
SVM-Poly2 (mm),0.2,0.821514673105914,0.02670332953550041
SVM-Poly2 (std),0.0,0.8292704318004551,0.03438321787913185
SVM-Poly2 (std),0.01,0.8293125443386276,0.03251604652289877
SVM-Poly2 (std),0.05,0.825330347979176,0.03239342832791568
SVM-Poly2 (std),0.1,0.8154170360541716,0.03222574743473695
SVM-Poly2 (std),0.2,0.8004685581283255,0.019792358461365213
SVM-RBF (mm),0.0,0.8131983164451398,0.01668860672258228
SVM-RBF (mm),0.01,0.8145127218809982,0.017238471412117946
SVM-RBF (mm),0.05,0.8138559918814792,0.02018448263918083
SVM-RBF (mm),0.1,0.8111619157104573,0.01566810413574049
SVM-RBF (mm),0.2,0.8117518354293916,0.025045666944669257
SVM-RBF (std),0.0,0.8383929200266422,0.013331395177399008
SVM-RBF (std),0.01,0.8397148433947674,0.017982637832162786
SVM-RBF (std),0.05,0.8376521386124975,0.02672299126530851
SVM-RBF (std),0.1,0.8323652807526483,0.027747185338455493
SVM-RBF (std),0.2,0.7924707987890771,0.01659873164707629
